LOCATION_CODE,LOCATION_NAME,PRIMARY_ADDRESS_LINE_1,STATE_CODE,PRINCIPAL_PHONE_NUMBER,Location 1
M297,MS 297M,75 Morton Street Manhattan NY 10014,NY,212-295-7555,75 Morton Street Manhattan NY 10014
X184,PS 17x,778 Forest Ave Bronx NY 10456,NY,718-665-5617,778 Forest Ave Bronx NY 10456
