LOCATION_CODE,LOCATION_NAME,PRIMARY_ADDRESS_LINE_1,STATE_CODE,PRINCIPAL_PHONE_NUMBER,Location 1
r077 ,Hellenic Classical Charter School - Staten Island,1641 Richmond Avenue,NY,(718) 499-0957,Staten Island 10314
nafm,Our Lady of Lourdes School,468 W 143rd St,NY,(212) 926-5820,Manhattan 10031
q973,ReStart Academy at August Martin Campus,156-10 Baisley Boulevard,NY,(347) 403-2135,Queens 11434
q950,Pathways to Graduation,156-10 Baisley Boulevard,NY,(718) 935-9457,Queens 11434
