LOCATION_CODE,LOCATION_NAME,PRIMARY_ADDRESS_LINE_1,STATE_CODE,PRINCIPAL_PHONE_NUMBER,Location 1
X098 Bard High School Early College Bronx,Bard High School Early College Bronx,1619 Boston Road,NY,(212) 995-8479,Bronx 10460
K597,Middle School of Innovation,2202 60 Street,NY,(718) 621-6271,Brooklyn 11204
MAGD,Harlem Village Academy West Charter School,74 West 124 Street,NY,(646) 812-9700,Manhattan 10027
