LOCATION_CODE,LOCATION_NAME,PRIMARY_ADDRESS_LINE_1,STATE_CODE,PRINCIPAL_PHONE_NUMBER,Location 1
b002,Academy of Mount St. Ursula X,330 Bedford Park Blvd,NY,718-364-5353,"Bronx, NY 10458"
l027,Bais Yaakov Academy K,1213 Elm Ave,NY,718-339-4747,"Brooklyn, NY 11230"
b012,Cardinal Spellman High School X,1 Cardinal Spellman Pl,NY,718-881-8000,"Bronx, NY 10466"
n118,Mt. Carmel Holy Rosary School M,371 Pleasant Avenue,NY,212-876-7555,"Manhattan, NY 10035"
u279,St. Francis Prep Q,6100 Francis Lewis Blvd,NY,718-423-8810,"Queens, NY 11365"
l356,St. Saviour Academy K,701 Eighth Ave,NY,718-768-8000,"Brooklyn, NY 11215"
l720,Yeshiva Rabbi Chaim Berlin K,1310 Avenue I,NY,718-377-5800,"Brooklyn, NY 11230"
n153,St. Ann School M,314 E 110th St,NY,212-722-1295,"Manhattan, NY 10029"
