LOCATION_CODE,LOCATION_NAME,PRIMARY_ADDRESS_LINE_1,STATE_CODE,PRINCIPAL_PHONE_NUMBER,Location 1
Q142,NVCHS For Math and Science IV, 156-10 Baisley Boulevard Queens NY 11434,NY,718-525-2041,156-10 Baisley Boulevard Queens NY 11434
KAKQ,Saint Saviour Catholic Academy,701 Eighth Avenue Brooklyn NY 11215,NY,718-768-8000,701 Eighth Avenue Brooklyn NY 11215
KAFI,Fontbonne Hall Academy,9901 Shore Rd Brooklyn NY 11209,NY,718-748-2244,9901 Shore Rd Brooklyn NY 11209
MAEQ,Lycee Francais De New York,505 E 75th St New York NY 10021,NY,212-369-1400,505 E 75th St Manhattan NY 10021
