LOCATION_CODE,LOCATION_NAME,PRIMARY_ADDRESS_LINE_1,STATE_CODE,PRINCIPAL_PHONE_NUMBER,Location 1
K338 MS 889K,MS 889K,21 Hinckley Place Brooklyn New York 11218,NY,"",Brooklyn 11218
K338 MS 890K,MS 890K,21 Hinckley Place Brooklyn New York 11218,NY,"",Brooklyn 11218
MBLE,Quad Preparatory School,25 Pine Street 4th Floor New York 10005,NY,"",Manhattan 10005
K008,P.S. 8 K,37 Hicks Street Brooklyn New York 11201,NY,"",Brooklyn 11201
K515 Brooklyn Community HS,Brooklyn Community High School for Excellence and Equity,6565 Flatlands Ave Brooklyn NY 11236,NY,"",Brooklyn 11236
K515 Brooklyn Theater Arts HS,Brooklyn Theater Arts High School,6565 Flatlands Ave Brooklyn NY 11236,NY,"",Brooklyn 11236
