LOCATION_CODE,LOCATION_NAME,PRIMARY_ADDRESS_LINE_1,STATE_CODE,PRINCIPAL_PHONE_NUMBER,Location 1
x362 J.M. Rapport School Career,J. M. Rapport School Career Development - Albert Tuitt Campus,921 E. 228th street Bronx NY 10466,NY,"", Bronx 10466
k008 PS8 Emily Warren Roebling,PS8 The Emily Warren Roebling School,37 Hicks Street Brooklyn NY 11201,NY,"",Brooklyn 11201
x450 P.S. x017 - Adlai Campus,P.S. X017- Adlai Campus,1980 Lafayette Avenue Bronx New York 10473,NY,"",Bronx 10473
x405 Renaissance HS for Musical,Renaissance High School for Musical Theater and the Arts,3000 E Tremont Ave Bronx NY 10461,NY,"",Bronx 10461
