LOCATION_CODE,LOCATION_NAME,PRIMARY_ADDRESS_LINE_1,STATE_CODE,PRINCIPAL_PHONE_NUMBER,Location 1
x215,Kappa 3630 3rd Ave,3630 Third Avenue,NY,718-590-5455,BRONX 10456
x374,Kappa 500 E Fordham Rd,500 East Fordham Road,NY,718-933-1247,BRONX 10458
