LOCATION_CODE,LOCATION_NAME,PRIMARY_ADDRESS_LINE_1,STATE_CODE,PRINCIPAL_PHONE_NUMBER,Location 1
Q417,Gotham Tech,28-01 41st Ave NY 11101,NY,"",Queens 11101
R062,School of Leadership and Sustainability R,644 Bloomingdale Rd NY 10309,NY,"",Staten Island 10309
Q398,P.S.398,69-1 34th Ave NY 11377,NY,"",Queens 11377
R084,P.S.84,45 Waverly Place NY 10304,NY,"",Staten Island 10304
R085,Young Women's Leadership School of Staten Island,45 Waverly Place NY 10304,NY,"",Staten Island 10304
