LOCATION_CODE,LOCATION_NAME,PRIMARY_ADDRESS_LINE_1,STATE_CODE,PRINCIPAL_PHONE_NUMBER,Location 1
K572,Leaders High School,2630 Benson Ave Brooklyn NY 11214,NY,"",Brooklyn 11214
K301,Restoration Academy,31 New York Avenue Brooklyn NY 11216,NY,"",Brooklyn 11216
